qid	verdict	src	pdf	note
q-maozhongte-10	ok	AB	AB	第1套第23题
q-maozhongte-11	ok	ABC	ABC	第1套第24题
q-maozhongte-12	ok	ABCD	ABCD	第1套第25题
q-maozhongte-13	ok	ABCD	ABCD	第1套第26题
q-maozhongte-15	ok	C	C	第2套第5题
q-maozhongte-16	ok	B	B	第2套第6题
q-maozhongte-17	ok	D	D	第2套第7题
q-maozhongte-18	ok	C	C	第2套第8题
q-maozhongte-19	ok	A	A	第2套第13题
q-maozhongte-20	unknown	A		答案解析缺第2套第15题标记
q-maozhongte-21	unknown			题干定位失败（最佳 -1.00）
q-maozhongte-22	ok	ABD	ABD	第2套第22题
q-maozhongte-23	ok	ABCD	ABCD	第2套第23题
q-maozhongte-24	ok	ABC	ABC	第2套第25题
q-maozhongte-25	ok	ABCD	ABCD	第2套第26题
q-maozhongte-28	ok	A	A	第3套第2题
q-maozhongte-29	unknown	C		答案解析缺第3套第5题标记
q-maozhongte-3	ok	A	A	第1套第5题
q-maozhongte-30	ok	B	B	第3套第6题
q-maozhongte-31	ok	D	D	第3套第7题
q-maozhongte-32	ok	D	D	第3套第9题
q-maozhongte-33	ok	C	C	第3套第14题
q-maozhongte-34	ok	BCD	BCD	第3套第22题
q-maozhongte-35	unknown			题干定位失败（最佳 -1.00）
q-maozhongte-36	unknown	ABC		答案解析缺第3套第24题标记
q-maozhongte-37	unknown	ABCD		答案解析缺第3套第25题标记
q-maozhongte-38	ok	ABCD	ABCD	第3套第26题
q-maozhongte-4	ok	C	C	第1套第6题
q-maozhongte-40	ok	B	B	第4套第5题
q-maozhongte-41	ok	B	B	第4套第6题
q-maozhongte-42	ok	B	B	第4套第7题
q-maozhongte-43	ok	D	D	第4套第8题
q-maozhongte-44	ok	C	C	第4套第9题
q-maozhongte-45	ok	ABCD	ABCD	第4套第22题
q-maozhongte-46	ok	BCD	BCD	第4套第23题
q-maozhongte-47	ok	ABC	ABC	第4套第24题
q-maozhongte-48	ok	ABCD	ABCD	第4套第25题
q-maozhongte-49	ok	ABCD	ABCD	第4套第26题
q-maozhongte-5	ok	B	B	第1套第7题
q-maozhongte-50	ok	ABD	ABD	第4套第29题
q-maozhongte-6	ok	B	B	第1套第8题
q-maozhongte-7	ok	A	A	第1套第9题
q-maozhongte-8	ok	C	C	第1套第15题
q-maozhongte-9	unknown			题干定位失败（最佳 0.61）
q-mayuan-10	ok	ACD	ACD	第1套第20题
q-mayuan-11	ok	AB	AB	第1套第21题
q-mayuan-13	ok	C	C	第2套第1题
q-mayuan-14	ok	A	A	第2套第2题
q-mayuan-15	ok	C	C	第2套第3题
q-mayuan-16	ok	D	D	第2套第4题
q-mayuan-17	ok	AC	AC	第2套第18题
q-mayuan-18	unknown			题干定位失败（最佳 -1.00）
q-mayuan-19	unknown	ACD		答案解析缺第2套第20题标记
q-mayuan-20	ok	BCD	BCD	第2套第21题
q-mayuan-22	ok	C	C	第3套第1题
q-mayuan-23	ok	C	C	第3套第3题
q-mayuan-24	unknown	D		答案解析缺第3套第4题标记
q-mayuan-25	ok	BCD	BCD	第3套第18题
q-mayuan-26	ok	AC	AC	第3套第19题
q-mayuan-27	unknown	ABD		答案解析缺第3套第20题标记
q-mayuan-28	ok	AB	AB	第3套第21题
q-mayuan-3	ok	A	A	第1套第1题
q-mayuan-30	ok	D	D	第4套第2题
q-mayuan-31	ok	A	A	第4套第3题
q-mayuan-32	unknown			题干定位失败（最佳 -1.00）
q-mayuan-33	ok	AD	AD	第4套第17题
q-mayuan-34	ok	AB	AB	第4套第18题
q-mayuan-35	ok	CD	CD	第4套第19题
q-mayuan-36	unknown			题干定位失败（最佳 -1.00）
q-mayuan-37	ok	ABC	ABC	第4套第21题
q-mayuan-4	ok	B	B	第1套第2题
q-mayuan-5	ok	C	C	第1套第3题
q-mayuan-6	ok	B	B	第1套第4题
q-mayuan-7	ok	ABCD	ABCD	第1套第17题
q-mayuan-8	ok	AC	AC	第1套第18题
q-mayuan-9	ok	ABD	ABD	第1套第19题
q-shigang-1	ok	D	D	第1套第10题
q-shigang-10	ok	D	D	第2套第11题
q-shigang-11	unknown	D		答案解析缺第2套第12题标记
q-shigang-12	unknown			题干定位失败（最佳 -1.00）
q-shigang-13	ok	ABD	ABD	第2套第28题
q-shigang-14	ok	ABD	ABD	第2套第29题
q-shigang-15	ok	ABCD	ABCD	第2套第32题
q-shigang-16	ok	B	B	第3套第10题
q-shigang-17	ok	B	B	第3套第11题
q-shigang-18	ok	B	B	第3套第12题
q-shigang-19	ok	A	A	第3套第13题
q-shigang-2	ok	C	C	第1套第11题
q-shigang-20	ok	ACD	ACD	第3套第27题
q-shigang-21	ok	ABC	ABC	第3套第28题
q-shigang-22	unknown	ABC		答案解析缺第3套第29题标记
q-shigang-24	ok	A	A	第4套第10题
q-shigang-25	ok	D	D	第4套第11题
q-shigang-26	ok	B	B	第4套第12题
q-shigang-27	ok	A	A	第4套第13题
q-shigang-28	unknown			题干定位失败（最佳 -1.00）
q-shigang-29	ok	BCD	BCD	第4套第28题
q-shigang-3	ok	D	D	第1套第12题
q-shigang-4	ok	D	D	第1套第13题
q-shigang-5	ok	BCD	BCD	第1套第27题
q-shigang-6	unknown	ABC		答案解析缺第1套第28题标记
